1,Afghanistan,Asia
2,Åland Islands,Europe
3,Albania,Europe
4,Algeria,Africa
5,American Samoa,Oceania
6,Andorra,Europe
7,Angola,Africa
8,Anguilla,North America
9,Antarctica,Antarctica
10,Antigua and Barbuda,North America
11,Argentina,South America
12,Armenia,Asia
13,Aruba,North America
14,Australia,Oceania
15,Austria,Europe
16,Azerbaijan,Asia
17,Bahamas,North America
18,Bahrain,Asia
19,Bangladesh,Asia
20,Barbados,North America
21,Belarus,Europe
22,Belgium,Europe
23,Belize,North America
24,Benin,Africa
25,Bermuda,North America
26,Bhutan,Asia
27,Bolivia,South America
28,Bonaire, Sint Eustatius and Saba,North America
29,Bosnia and Herzegovina,Europe
30,Botswana,Africa
31,Bouvet Island,South America
32,Brazil,South America
33,British Indian Ocean Territory,Africa
34,British Virgin Islands,North America
35,Brunei Darussalam,Asia
36,Bulgaria,Europe
37,Burkina Faso,Africa
38,Burundi,Africa
39,Cabo Verde,Africa
40,Cambodia,Asia
41,Cameroon,Africa
42,Canada,North America
43,Cayman Islands,North America
44,Central African Republic,Africa
45,Chad,Africa
46,Chile,South America
47,China,Asia
48,China, Hong Kong Special Administrative Region,Asia
49,China, Macao Special Administrative Region,Asia
50,Christmas Island,Oceania
51,Cocos (Keeling) Islands,Oceania
52,Colombia,South America
53,Comoros,Africa
54,Congo,Africa
55,Cook Islands,Oceania
56,Costa Rica,North America
57,Côte d’Ivoire,Africa
58,Croatia,Europe
59,Cuba,North America
60,Curaçao,North America
61,Cyprus,Asia
62,Czechia,Europe
63,Democratic People's Republic of Korea,Asia
64,Democratic Republic of the Congo,Africa
65,Denmark,Europe
66,Djibouti,Africa
67,Dominica,North America
68,Dominican Republic,North America
69,Ecuador,South America
70,Egypt,Africa
71,El Salvador,North America
72,Equatorial Guinea,Africa
73,Eritrea,Africa
74,Estonia,Europe
75,Eswatini,Africa
76,Ethiopia,Africa
77,Falkland Islands (Malvinas),South America
78,Faroe Islands,Europe
79,Fiji,Oceania
80,Finland,Europe
81,France,Europe
82,French Guiana,South America
83,French Polynesia,Oceania
84,French Southern Territories,Africa
85,Gabon,Africa
86,Gambia,Africa
87,Georgia,Asia
88,Germany,Europe
89,Ghana,Africa
90,Gibraltar,Europe
91,Greece,Europe
92,Greenland,North America
93,Grenada,North America
94,Guadeloupe,North America
95,Guam,Oceania
96,Guatemala,North America
97,Guernsey,Europe
98,Guinea,Africa
99,Guinea-Bissau,Africa
100,Guyana,South America
101,Haiti,North America
102,Heard Island and McDonald Islands,Oceania
103,Holy See,Europe
104,Honduras,North America
105,Hungary,Europe
106,Iceland,Europe
107,India,Asia
108,Indonesia,Asia
109,Iran (Islamic Republic of),Asia
110,Iraq,Asia
111,Ireland,Europe
112,Isle of Man,Europe
113,Israel,Asia
114,Italy,Europe
115,Jamaica,North America
116,Japan,Asia
117,Jersey,Europe
118,Jordan,Asia
119,Kazakhstan,Asia
120,Kenya,Africa
121,Kiribati,Oceania
122,Kuwait,Asia
123,Kyrgyzstan,Asia
124,Lao People's Democratic Republic,Asia
125,Latvia,Europe
126,Lebanon,Asia
127,Lesotho,Africa
128,Liberia,Africa
129,Libya,Africa
130,Liechtenstein,Europe
131,Lithuania,Europe
132,Luxembourg,Europe
133,Madagascar,Africa
134,Malawi,Africa
135,Malaysia,Asia
136,Maldives,Asia
137,Mali,Africa
138,Malta,Europe
139,Marshall Islands,Oceania
140,Martinique,North America
141,Mauritania,Africa
142,Mauritius,Africa
143,Mayotte,Africa
144,Mexico,North America
145,Micronesia (Federated States of),Oceania
146,Monaco,Europe
147,Mongolia,Asia
148,Montenegro,Europe
149,Montserrat,North America
150,Morocco,Africa
151,Mozambique,Africa
152,Myanmar,Asia
153,Namibia,Africa
154,Nauru,Oceania
155,Nepal,Asia
156,Netherlands,Europe
157,New Caledonia,Oceania
158,New Zealand,Oceania
159,Nicaragua,North America
160,Niger,Africa
161,Nigeria,Africa
162,Niue,Oceania
163,Norfolk Island,Oceania
164,North Macedonia,Europe
165,Northern Mariana Islands,Oceania
166,Norway,Europe
167,Oman,Asia
168,Pakistan,Asia
169,Palau,Oceania
170,Panama,North America
171,Papua New Guinea,Oceania
172,Paraguay,South America
173,Peru,South America
174,Philippines,Asia
175,Pitcairn,Oceania
176,Poland,Europe
177,Portugal,Europe
178,Puerto Rico,North America
179,Qatar,Asia
180,Republic of Korea,Asia
181,Republic of Moldova,Europe
182,Réunion,Africa
183,Romania,Europe
184,Russian Federation,Europe
185,Rwanda,Africa
186,Saint Barthélemy,North America
187,Saint Helena,Africa
188,Saint Kitts and Nevis,North America
189,Saint Lucia,North America
190,Saint Martin (French Part),North America
191,Saint Pierre and Miquelon,North America
192,Saint Vincent and the Grenadines,North America
193,Samoa,Oceania
194,San Marino,Europe
195,Sao Tome and Principe,Africa
196,Sark,Europe
197,Saudi Arabia,Asia
198,Senegal,Africa
199,Serbia,Europe
200,Seychelles,Africa
201,Sierra Leone,Africa
202,Singapore,Asia
203,Sint Maarten (Dutch part),North America
204,Slovakia,Europe
205,Slovenia,Europe
206,Solomon Islands,Oceania
207,Somalia,Africa
208,South Africa,Africa
209,South Georgia and the South Sandwich Islands,South America
210,South Sudan,Africa
211,Spain,Europe
212,Sri Lanka,Asia
213,State of Palestine,Asia
214,Sudan,Africa
215,Suriname,South America
216,Svalbard and Jan Mayen Islands,Europe
217,Sweden,Europe
218,Switzerland,Europe
219,Syrian Arab Republic,Asia
220,Tajikistan,Asia
221,Thailand,Asia
222,Timor-Leste,Asia
223,Togo,Africa
224,Tokelau,Oceania
225,Tonga,Oceania
226,Trinidad and Tobago,North America
227,Tunisia,Africa
228,Turkey,Asia
229,Turkmenistan,Asia
230,Turks and Caicos Islands,North America
231,Tuvalu,Oceania
232,Uganda,Africa
233,Ukraine,Europe
234,United Arab Emirates,Asia
235,United Kingdom of Great Britain and Northern Ireland,Europe
236,United Republic of Tanzania,Africa
237,United States Minor Outlying Islands,Oceania
238,United States of America,North America
239,United States Virgin Islands,North America
240,Uruguay,South America
241,Uzbekistan,Asia
242,Vanuatu,Oceania
243,Venezuela (Bolivarian Republic of),South America
244,Viet Nam,Asia
245,Wallis and Futuna Islands,Oceania
246,Western Sahara,Africa
247,Yemen,Asia
248,Zambia,Africa
249,Zimbabwe,Africa
